train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
8.1028,6.4238,0.0104,0.0378,0.5362,0.5024
4.9477,5.1639,0.0102,0.0418,0.5749,0.5053
3.5529,4.3576,0.0102,0.0438,0.6100,0.5077
2.6393,3.9946,0.0110,0.0468,0.6427,0.5112
2.1593,3.6293,0.0132,0.0438,0.6716,0.5138
1.7169,3.4180,0.0142,0.0462,0.6978,0.5155
1.4833,3.2555,0.0172,0.0502,0.7200,0.5178
1.2440,3.1247,0.0158,0.0526,0.7414,0.5203
1.0986,2.9919,0.0162,0.0538,0.7620,0.5215
0.9680,2.8799,0.0190,0.0552,0.7809,0.5241
0.8386,2.7918,0.0182,0.0550,0.7975,0.5264
0.7647,2.7283,0.0194,0.0554,0.8119,0.5289
0.6920,2.6705,0.0200,0.0606,0.8244,0.5301
0.6325,2.6290,0.0226,0.0648,0.8332,0.5308
0.5864,2.5879,0.0250,0.0610,0.8464,0.5337
0.5191,2.5394,0.0246,0.0592,0.8550,0.5345
0.4943,2.5270,0.0296,0.0648,0.8647,0.5377
0.4521,2.5011,0.0280,0.0658,0.8722,0.5383
0.4171,2.4737,0.0276,0.0672,0.8806,0.5390
0.4056,2.4597,0.0316,0.0674,0.8843,0.5403
0.3881,2.4472,0.0320,0.0734,0.8918,0.5425
0.3684,2.4071,0.0358,0.0654,0.8983,0.5421
0.3362,2.4177,0.0382,0.0704,0.9037,0.5453
0.3185,2.4094,0.0410,0.0708,0.9090,0.5456
0.3012,2.3863,0.0408,0.0724,0.9146,0.5453
0.2883,2.3938,0.0448,0.0738,0.9187,0.5467
0.2793,2.3745,0.0446,0.0732,0.9229,0.5482
0.2650,2.3777,0.0540,0.0772,0.9251,0.5477
0.2497,2.3723,0.0516,0.0764,0.9294,0.5511
0.2313,2.3519,0.0548,0.0748,0.9341,0.5516
0.2237,2.3694,0.0600,0.0784,0.9370,0.5530
0.2181,2.3671,0.0664,0.0754,0.9391,0.5534
0.2060,2.3637,0.0650,0.0710,0.9431,0.5532
0.2017,2.3576,0.0728,0.0808,0.9447,0.5566
0.1936,2.3493,0.0792,0.0776,0.9473,0.5568
0.1781,2.3403,0.0844,0.0806,0.9501,0.5568
0.1697,2.3556,0.0954,0.0796,0.9527,0.5577
0.1610,2.3611,0.0900,0.0796,0.9540,0.5596
0.1567,2.3768,0.1036,0.0898,0.9539,0.5609
0.1526,2.3536,0.1086,0.0846,0.9569,0.5615
0.1480,2.3619,0.1250,0.0832,0.9577,0.5622
0.1455,2.3594,0.1250,0.0868,0.9620,0.5647
0.1443,2.3362,0.1406,0.0850,0.9620,0.5629
0.1366,2.3458,0.1456,0.0882,0.9635,0.5667
0.1291,2.3558,0.1546,0.0894,0.9650,0.5662
0.1217,2.3391,0.1688,0.0938,0.9661,0.5669
0.1256,2.3355,0.1758,0.0906,0.9681,0.5686
0.1175,2.3298,0.1834,0.0962,0.9695,0.5704
0.1141,2.3532,0.1860,0.0940,0.9685,0.5717
0.1115,2.3248,0.2068,0.0936,0.9697,0.5702
0.1065,2.3268,0.2146,0.0932,0.9715,0.5725
0.1004,2.3371,0.2192,0.1034,0.9724,0.5750
0.0967,2.3180,0.2308,0.0976,0.9728,0.5734
0.0979,2.3169,0.2386,0.0986,0.9748,0.5762
0.0955,2.3173,0.2562,0.0936,0.9743,0.5751
0.0995,2.3148,0.2660,0.0960,0.9756,0.5777
0.0882,2.3034,0.2740,0.0986,0.9764,0.5782
0.0870,2.2975,0.2908,0.0940,0.9769,0.5791
0.0885,2.3010,0.2942,0.1010,0.9769,0.5790
0.0809,2.3021,0.3090,0.1030,0.9784,0.5817
0.0816,2.3022,0.3140,0.0998,0.9784,0.5823
0.0790,2.3014,0.3334,0.0990,0.9784,0.5807
0.0815,2.3103,0.3332,0.0918,0.9784,0.5807
0.0754,2.3028,0.3344,0.1032,0.9800,0.5849
0.0737,2.2924,0.3448,0.1032,0.9799,0.5857
0.0771,2.2882,0.3646,0.1016,0.9799,0.5850
0.0756,2.2829,0.3732,0.1052,0.9805,0.5877
0.0661,2.2855,0.3838,0.1032,0.9807,0.5866
0.0743,2.2786,0.3764,0.1060,0.9817,0.5886
0.0682,2.2733,0.3982,0.1040,0.9826,0.5888
0.0716,2.2781,0.4080,0.1088,0.9818,0.5891
0.0665,2.2679,0.4156,0.1020,0.9827,0.5907
0.0653,2.2536,0.4290,0.1076,0.9831,0.5909
0.0648,2.2706,0.4292,0.1100,0.9833,0.5913
0.0670,2.2824,0.4450,0.1064,0.9828,0.5902
0.0603,2.2686,0.4514,0.1082,0.9830,0.5911
0.0643,2.2778,0.4584,0.1074,0.9835,0.5927
0.0616,2.2739,0.4624,0.1084,0.9835,0.5924
0.0694,2.2528,0.4770,0.1158,0.9840,0.5926
0.0633,2.2375,0.4806,0.1118,0.9844,0.5935
0.0607,2.2511,0.4892,0.1114,0.9844,0.5936
0.0624,2.2708,0.4912,0.1190,0.9840,0.5949
0.0551,2.2394,0.4928,0.1164,0.9853,0.5972
0.0590,2.2635,0.4960,0.1130,0.9843,0.5984
0.0592,2.2389,0.4906,0.1098,0.9848,0.5974
0.0587,2.2311,0.5108,0.1198,0.9858,0.5974
0.0609,2.2326,0.5084,0.1148,0.9855,0.5984
0.0559,2.2076,0.5224,0.1178,0.9861,0.6006
0.0578,2.2372,0.5152,0.1162,0.9854,0.5991
0.0574,2.2433,0.5198,0.1156,0.9854,0.6000
0.0612,2.2302,0.5268,0.1142,0.9853,0.6020
0.0626,2.2359,0.5312,0.1150,0.9854,0.6008
0.0635,2.2362,0.5370,0.1136,0.9855,0.5999
0.0566,2.2247,0.5560,0.1122,0.9854,0.6021
0.0564,2.2567,0.5390,0.1154,0.9854,0.6036
0.0565,2.2180,0.5608,0.1172,0.9866,0.6041
0.0558,2.2255,0.5634,0.1182,0.9865,0.6045
0.0570,2.2547,0.5600,0.1196,0.9855,0.6028
0.0562,2.2444,0.5562,0.1142,0.9859,0.6051
0.0557,2.2185,0.5786,0.1198,0.9865,0.6049
